Description,Label
"Con Mèo Đen là tác phẩm đầu tiên của Edgar Allan Poe được dịch sang tiếng Nhật, xuất bản dài kì trên một tạp chí nổi tiếng vào năm 1887 Đây cũng là truyện ngắn nổi bật hàng đầu của Poe, kể lại câu chuyện về một người đàn ông vốn từng yêu thương động vật, nhưng vì chứng nghiện rượu mà ra tay tàn độc với một con mèo đen cũng như cả người vợ của mình Sự xuất hiện của Edgar Allan Poe đã góp phần giúp cho thể loại kì bí, kinh dị dần càng được ưa chuộng trong văn học Nhật thờ… Xem thêm",truyện
"TAM CHỨNG NAN Y  TRONG GIAO TIẾP Trong các quan hệ giao tiếp xã hội, có “tam chứng nan y”: nghĩ mình siêu thông minh, nghĩ mình siêu hài hước, nghĩ mình siêu vô tội, tổng kết lại chính là tôi luôn đúng, mọi người phải nghe tôiSở dĩ có nhiều người rất hay đưa các cuộc đối thoại vào ngõ cụt, nguyên nhân là do họ hoàn toàn không quan tâm đến việc tạo ra tình huống giao tiếp an toàn, chỉ biết thẳng thừng phơi bày suy nghĩ, không quan tâm tới người nghe tiếp nhận thông tin r… Xem thêm",truyện
"Tôi sẽ dùng sách vào rất nhiều việc, còn bạn thì sao? Tìm đọc TRÔNG SÁCH ĐOÁN NGƯỜI  Tuyển tập tranh truyện dành cho những người yêu sách tại: wwwwingsbookscomvn/trongsachdoannguoi",truyện
"Nhân dịp Back to School thì không thể không nhắc đến cuốn sách tranh thân thương HỌC SINH CHÚNG MÌNH 2000 HỒI ẤY với tất tần tật những kỉ niệm thời đi học xưa những năm 2000 Đi học không chỉ là cắp sách đến trường học kiến thức, mà còn được gặp gỡ bạn bè, với đủ những trò nghịch ngợm Hay bộ đồ dùng học tập siêu mê, từ cuốn vở huyền thoại Bãi Bằng cho đến bút chì bấm, tẩy hình chữ cái, hình hoa quả Có cả những trò bói toán, viết thư tay, chép nhạc, phát loa trường Cũng… Xem thêm",truyện
Nhờ có sự ra mắt của phiên bản live action nên Hôn Nhân Hạnh Phúc Của Tôi đã được các độc giả đón nhận nhiệt tình  Tất cả các tập đều lọt vào top 10 light novel bán chạy tuần từ ngày 27/3 cho tới ngày 9/4  Dự là hè này khi anime lên sóng thì doanh số sẽ lại tiếp tục được đẩy mạnh Ngoài ra thì Arya bàn bên cũng chễm chệ top 1 Đặt mua Hôn Nhân Hạnh Phúc Của Tôi tại: https://wwwwingsbookscomvn/honnhanhanhphuccuatoiNg… Xem thêm,truyện
"Cùng 1 pose nhưng khác phiên bản  Nhưng dù là bản nào thì Miêu Miêu cũng đáng yêu hết đúng không cả nhà? Và hôm nay cũng tròn 3 tháng kể từ lúc Dược Sư Tự Sự thông báo chuyển thể anime rồi, không biết khi nào thì phát sóng ha https://wwwwingsbookscomvn/duocsutusu#… Xem thêm",truyện
"Tháng 4 này, CHÚ GIÀ NUÔI MÈO Ú trở lại với tập 10, chính thức đuổi kịp tiến độ hiện tại so với bên Nhật! Trong tập 10 này sẽ là câu chuyện của những mảnh đời khác nhau, từng sống trong đau khổ và day dứt trước khi được cảm hoá bằng tình yêu thương và những chú mèo Và tình thương của chú già Kanda dành cho Fukumaru chính là tấm gương soi rõ nhất chỉ lối cho họ“Trái tim của Fukumaru rộng lớn hơn cả vũ trụ luôn đó, meo~!!”… Xem thêm",truyện
"Chúa Tể Bóng Tối thông báo season 2 của anime sẽ được lên sóng vào tháng 10 tới, tổng cộng 12 tập Cùng 1 dàn nhân vật mới Không biết trong thời gian phát sóng season 2 thì sách bản Việt ra được tới tập [x] không ta? ([x] lớn hơn 1 nhé) #WingsBooks #Lightnovel #Chúa_Tể_Bóng_Tối",truyện
"Quà tặng của tập 6 CHỊ CHION Ở ĐỀN MÈO là chiếc SNS Card cực xinh của những thiếu nữ mùa thu! Trong tập này có lễ hội trường diễn ra cực kỳ sôi động và các thiếu nữ lớp 10 mặc đồ hết sức xinh yêu cho quán cà phê mèo lớp 10D đó nha!Tập 6 sẽ phát hành 11/10 tới, mời các bạn đón đọc!… Xem thêm",truyện
"Buổi chiều đầu tuần sao mà mưa quá, đành lấy Arya bàn bên tập 3 ra bóc seal cải thiện tâm trạng  Các bạn vào bóc chung với ad nha Sách sẽ mở đặt trước vào tối nay, các bạn nhớ đặt báo thức kẻo quên đó Link đặt mua đã được cập nhật, các bạn lưu ngay tại: https://wwwwingsbookscomvn/aryabanben… Xem thêm",truyện
"[Ưu đãi 50%] Lần đầu tiên kể từ khi phát hành, Bụi Kí tập 1 được giảm giá 50% trong chương trình Ưu đãi ngày kép đang diễn ra trong 3 ngày: từ 44  642023Áp dụng duy nhất tại 3 kênh:Website: wwwnxbkimdongcomvn… Xem thêm",truyện
"[Thông báo phát hành & Mở đặt mua] LÀM VIỆC TỪ XA, YÊU NHÀ HÀNG XÓM Đặt mua sách tại: https://wwwwingsbookscomvn/yeunhaMitsuhashi Nokoru  một kĩ sư hệ thống đang sống cuộc đời của một nô lệ tư bản… Xem thêm",truyện
